FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_TIME,CONT_DATE,CONT_TIME,FIRE_SIZE,LATITUDE,LONGITUDE
FOUNTAIN,2005,2453403.5,1300,2453403.5,1730,0.1,40.03694444,-121.0058333
PIGEON,2004,2453137.5,845,2453137.5,1530,0.25,38.93305556,-120.4044444
SLACK,2004,2453156.5,1921,2453156.5,2024,0.1,38.98416667,-120.7355556
DEER,2004,2453184.5,1600,2453189.5,1400,0.1,38.55916667,-119.9133333
STEVENOT,2004,2453184.5,1600,2453189.5,1200,0.1,38.55916667,-119.9330556
HIDDEN,2004,2453186.5,1800,2453187.5,1600,0.1,38.63527778,-120.1036111
FORK,2004,2453187.5,1800,2453188.5,1400,0.1,38.68833333,-120.1533333
SLATE,2005,2453437.5,1300,2453437.5,1600,0.8,40.96805556,-122.4338889
SHASTA,2005,2453444.5,1200,2453444.5,1700,1,41.23361111,-122.2833333
TANGLEFOOT,2004,2453187.5,1800,2453188.5,1800,0.1,38.54833333,-120.1491667
FORK #2,2004,2453188.5,1830,2453189.5,1900,0.1,38.69166667,-120.1597222
MOKE #2,2004,2453188.5,1730,2453189.5,2000,0.1,38.5275,-120.1061111
WRIGHTS,2004,2453251.5,1600,2453251.5,1630,0.1,38.78666667,-120.1933333
TIGER,2004,2453276.5,1200,2453276.5,1800,6,38.43333333,-120.51
BROWN,2004,2453281.5,630,2453281.5,1500,0.2,38.67583333,-120.2797222
SOPIAGO,2004,2453281.5,930,2453281.5,1400,0.1,38.56416667,-120.5422222
POWER,2004,2453284.5,1415,2453299.5,1000,16823,38.52333333,-120.2116667
FREDS,2004,2453291.5,1618,2453295.5,1800,7700,38.78,-120.26
HARTLESS,2004,2453329.5,2000,2453330.5,1630,0.1,38.945,-120.4116667
LINTO,2005,2453548.5,1007,2453548.5,1130,0.1,41.03722222,-123.5330556
CANYON,2005,2453484.5,710,2453484.5,745,0.1,34.17444444,-117.765
FOUNTAIN,2005,2453554.5,1650,2453554.5,1800,0.5,34.15388889,-117.8411111
ROBIN,2005,2453546.5,905,2453546.5,1332,0.1,38.98388889,-120.8025
HOT SPRINGS,2005,2453496.5,1145,2453499.5,1330,0.1,38.70027778,-119.8405556
SHINGLE,2005,2453559.5,15,2453559.5,45,0.01,38.45361111,-119.4586111
LOOKOUT,2005,2453487.5,1700,2453487.5,1715,0.1,33.66666667,-117.3763889
DEVIL'S GATE,2005,2453569.5,1600,2453570.5,1800,0.1,38.35361111,-119.3780556
SADDLE,2005,2453540.5,1500,2453540.5,1505,10,33.71888889,-117.4336111
PETERSON,2005,2453517.5,2015,2453517.5,2058,0.1,37.04416667,-119.3438889
WILLOW,2005,2453538.5,1530,2453538.5,2030,0.5,38.83972222,-119.8863889
DOGWOOD,2005,2453492.5,1628,2453492.5,1700,0.1,35.76888889,-118.4352778
BUCKEYE,2005,2453573.5,1600,2453573.5,1955,0.1,38.22666667,-119.3466667
SUMMERS,2005,2453572.5,1700,2453572.5,1800,0.1,38.16888889,-119.3169444
APACHE,2005,2453411.5,1337,2453411.5,1607,3,34.74833333,-119.4102778
TREEBONE,2005,2453415.5,1640,2453415.5,1900,0.1,35.88361111,-121.4569444
MARBLE,2005,2453518.5,1700,2453518.5,1740,0.1,36.21805556,-121.4991667
WHITE,2005,2453510.5,1915,2453510.5,2100,0.1,36.44833333,-121.5827778
SECRET,2005,2453573.5,1000,2453574.5,1500,0.5,38.29444444,-119.54
EAGLE,2005,2453575.5,1630,2453575.5,1745,0.1,38.22222222,-119.3869444
DEVIL,2005,2453571.5,1000,2453572.5,1136,0.1,38.3575,-119.3611111
SHERWIN,2005,2453564.5,1523,2453564.5,1600,0.1,37.53055556,-118.6272222
VISTA,2005,2453572.5,630,2453572.5,900,0.1,37.515,-118.5983333
DUCKWALL,2005,2453532.5,1756,2453533.5,930,2,37.94027778,-120.1216667
WOODFORDS,2005,2453577.5,1609,2453577.5,1648,0.1,38.76388889,-119.8538889
FAIRVIEW,2005,2453544.5,1551,2453544.5,1800,4.2,34.46666667,-119.8283333
CHIMINEAS,2005,2453552.5,1330,2453554.5,1800,90,35.13583333,-120.0025
SEVEN,2005,2453554.5,1415,2453554.5,1710,0.1,34.855,-119.0738889
MARCOS,2005,2453562.5,1702,2453562.5,1834,0.1,34.49638889,-119.8511111
TASSAJARA 1,2005,2453567.5,315,2453568.5,1500,0.3,36.2425,-121.5511111
TASSAJARA 2,2005,2453567.5,545,2453567.5,1830,0.1,36.2425,-121.5480556
SENIOR,2005,2453569.5,1456,2453569.5,1700,1,34.47138889,-119.195
SOUTH FORK,2005,2453518.5,1816,2453518.5,1925,0.3,35.63833333,-118.2811111
TENT,2005,2453519.5,1031,2453519.5,1035,0.25,35.64694444,-118.4636111
REDS,2005,2453519.5,1146,2453519.5,1204,0.25,35.66305556,-118.4436111
TILLIE,2005,2453519.5,1431,2453519.5,1700,1.1,35.70222222,-118.4536111
POOREBOY,2005,2453579.5,1145,2453579.5,1600,0.25,38.65861111,-119.7513889
STINE,2005,2453523.5,1230,2453523.5,1245,0.1,35.67861111,-118.4094444
MOBILE,2005,2453523.5,1418,2453523.5,1425,0.25,35.64972222,-118.4163889
BARBER,2005,2453579.5,1300,2453579.5,1900,0.1,38.67055556,-119.7672222
MARINA,2005,2453526.5,1420,2453526.5,1550,0.1,35.695,-118.4602778
BROOKS,2005,2453526.5,1550,2453526.5,1641,2.5,35.64138889,-118.3366667
HILL,2005,2453546.5,1400,2453546.5,2000,0.1,38.35,-119.35
FALLS,2005,2453571.5,500,2453571.5,1808,0.1,38.29888889,-119.5652778
TUTTLE,2005,2453527.5,1426,2453527.5,1810,2.1,35.68166667,-118.4588889
JANET,2005,2453563.5,1400,2453563.5,1810,0.1,38.05444444,-119.2519444
HOUSE,2005,2453534.5,1557,2453534.5,1601,0.1,35.45805556,-118.7830556
SLINKARD 2,2005,2453572.5,1700,2453575.5,1000,89,38.57361111,-119.5547222
PECHACHO,2005,2453563.5,1445,2453563.5,1530,0.1,35.46444444,-118.7563889
SWAUGER II,2005,2453546.5,1400,2453546.5,1530,0.1,38.35111111,-119.3272222
SWAUGER I,2005,2453546.5,1545,2453546.5,1700,0.1,38.35027778,-119.3308333
SAWMILL,2005,2453546.5,1400,2453546.5,1700,0.1,38.34444444,-119.3333333
192,2005,2453566.5,1020,2453566.5,1500,0.5,39.61472222,-119.9972222
WEST,2005,2453579.5,2000,2453581.5,300,0.25,38.76583333,-119.8877778
PADUA,2005,2453553.5,912,2453553.5,940,0.1,34.16222222,-117.6816667
CHEVY,2005,2453554.5,2130,2453554.5,2230,0.1,34.24222222,-117.8558333
JAG,2005,2453560.5,1115,2453560.5,1130,0.1,34.22388889,-117.6675
DARLING,2005,2453554.5,1817,2453554.5,1918,0.1,38.89694444,-120.7825
LEROY,2005,2453571.5,830,2453571.5,1000,0.1,34.12222222,-117.7505556
ANT,2005,2453518.5,1745,2453518.5,1750,0.1,35.88638889,-118.4611111
ICEHOUSE,2005,2453567.5,2200,2453567.5,2245,0.1,34.25,-117.6366667
GREENLEAF,2005,2453524.5,1325,2453524.5,1345,0.1,35.76805556,-118.4361111
DUMPSTER,2005,2453575.5,1400,2453575.5,1420,0.1,34.16805556,-117.7686111
MARSHALL,2005,2453579.5,1425,2453579.5,1440,0.1,34.15166667,-117.7436111
MAGNOLIA,2005,2453523.5,1600,2453523.5,2000,2.3,39.81722222,-120.4511111
ONE FIFTY,2005,2453404.5,820,2453404.5,840,0.1,32.82027778,-116.5897222
MORRIS,2005,2453584.5,34,2453584.5,230,0.2,34.18638889,-117.8713889
ASH,2005,2453465.5,1541,2453465.5,1630,0.1,32.73472222,-116.6847222
NINE,2005,2453574.5,1640,2453574.5,1945,0.1,34.68694444,-119.1080556
CEAGO,2005,2453576.5,1315,2453576.5,1600,8,39.11222222,-122.8166667
SLASH,2005,2453572.5,630,2453572.5,856,0.1,40.42666667,-121.0494444
HORSETHIEF,2005,2453579.5,1800,2453580.5,730,0.1,38.79083333,-119.8597222
MONITOR,2005,2453587.5,1340,2453587.5,1900,0.1,38.68,-119.6358333
EASTFORK,2005,2453587.5,1445,2453588.5,1100,0.1,38.61194444,-119.6783333
SPAULDING,2005,2453563.5,1350,2453563.5,1615,0.1,40.65166667,-120.7766667
LANDING,2005,2453570.5,1215,2453570.5,1220,0.01,40.41666667,-121.05
ISHI,2005,2453480.5,1900,2453481.5,1900,2,39.9875,-121.7863889
BEAR MINE,2005,2453589.5,1730,2453590.5,1100,0.1,38.60222222,-119.7219444
NINE,2005,2453560.5,1313,2453561.5,1800,1149,35.68805556,-118.4383333
LONG,2005,2453575.5,1705,2453576.5,1500,0.1,35.82722222,-118.2102778
MACHINE,2005,2453572.5,620,2453573.5,1600,0.3,35.96555556,-118.3175
BITTER,2005,2453571.5,1700,2453573.5,1430,0.1,36.04472222,-118.1572222
JACKASS,2005,2453572.5,1745,2453572.5,1900,0.2,39.57972222,-121.1252778
MEADOWS,2005,2453588.5,1330,2453588.5,1700,0.1,34.78166667,-119.1483333
RICH,2005,2453521.5,1729,2453521.5,1937,0.3,35.47638889,-118.7211111
CATTLE,2005,2453571.5,1815,2453571.5,1825,0.1,34.22888889,-117.7683333
OLD,2005,2453555.5,1125,2453555.5,1230,0.5,35.64833333,-118.4566667
KOA,2005,2453556.5,1635,2453556.5,2300,69,35.65222222,-118.3566667
BURLANDO,2005,2453590.5,1545,2453590.5,1830,3.7,35.74722222,-118.4219444
EAGLE CREEK,2005,2453591.5,1245,2453591.5,1630,0.1,38.58333333,-119.83
